日期,憤怒,羨慕,恐懼,悲傷,希望,快樂,愛,厭惡,不滿,Score,Sleep,Sleeptime,AvgHeartRate,SocialApp,GameApp,FunApp,OtherApp,Temperture,Humidity,Sunshine,Airquality
2019/1/26,0,0,0,0,2,2,1,0,0,10003,3,1,0,0.00 ,0.00 ,0.00 ,0.00 ,1,2,3,2
2019/1/27,0,0,0,0,3,4,3,0,2,10001,1,1,0,0.00 ,0.00 ,0.00 ,0.00 ,1,2,3,1
2019/1/28,0,0,0,0,3,4,3,0,2,10001,2,1,0,0.00 ,0.00 ,0.00 ,0.00 ,1,4,5,1
2019/1/29,0,0,1,0,4,8,3,0,0,10001,2,2,0,0.00 ,0.00 ,0.00 ,0.00 ,2,4,5,1
2019/1/30,0,1,2,0,3,8,3,0,0,10001,4,2,0,0.00 ,0.00 ,0.00 ,0.00 ,2,4,5,2
2019/1/31,0,1,2,0,3,8,5,2,0,10001,2,2,0,0.00 ,0.00 ,0.00 ,0.00 ,2,4,4,2
2019/3/25,0,2,5,7,0,0,0,2,3,10004,4,1,0,0.64 ,0.36 ,0.00 ,0.00 ,2,4,1,1
2019/3/26,0,0,4,0,2,0,0,3,0,10003,4,1,0,0.77 ,0.23 ,0.00 ,0.00 ,2,4,5,2
2019/3/27,0,0,3,0,3,3,4,0,0,10001,4,1,0,0.59 ,0.41 ,0.00 ,0.00 ,2,4,4,2
2019/3/28,0,3,2,3,3,0,0,0,3,10003,3,3,0,0.20 ,0.80 ,0.00 ,0.00 ,2,4,6,2
2019/3/29,0,0,2,0,0,0,2,0,2,10005,4,1,0,0.34 ,0.66 ,0.00 ,0.00 ,2,4,3,2
2019/3/30,0,0,0,0,2,2,2,0,0,10003,2,1,0,0.00 ,1.00 ,0.00 ,0.00 ,2,4,3,2
2019/3/31,0,0,0,0,3,3,3,0,0,10003,4,3,0,0.00 ,1.00 ,0.00 ,0.00 ,2,4,3,3
2019/4/1,0,0,0,0,2,3,3,0,0,10003,4,3,0,0.57 ,0.43 ,0.00 ,0.00 ,1,4,1,2
2019/4/2,0,0,0,2,1,0,1,0,0,10003,4,1,0,0.59 ,0.41 ,0.00 ,0.00 ,2,4,1,2
2019/4/3,2,1,0,3,3,4,4,0,4,10004,3,1,0,0.37 ,0.20 ,0.43 ,0.00 ,2,4,1,1
2019/4/4,0,0,3,0,5,4,5,2,3,10004,3,1,0,0.57 ,0.00 ,0.43 ,0.00 ,2,4,5,2
2019/4/5,3,0,2,2,3,2,3,0,2,10004,3,3,0,0.39 ,0.00 ,0.43 ,0.18 ,2,4,5,2
2019/4/6,0,0,0,0,3,2,4,0,2,10003,4,2,0,0.53 ,0.16 ,0.00 ,0.31 ,2,4,4,1
2019/4/7,0,0,2,0,0,0,3,0,0,10003,3,1,0,1.00 ,0.00 ,0.00 ,0.00 ,2,4,4,3
2019/4/8,0,0,2,0,0,3,3,0,0,10005,4,1,0,0.56 ,0.44 ,0.00 ,0.00 ,2,4,5,3
2019/4/9,3,0,1,1,0,2,2,0,5,10003,4,1,0,0.59 ,0.41 ,0.00 ,0.00 ,2,4,1,2
2019/4/10,0,0,0,0,2,0,2,0,0,10003,4,2,0,0.44 ,0.56 ,0.00 ,0.00 ,2,4,5,1
2019/4/11,0,0,3,0,0,2,0,0,2,10003,3,2,0,0.49 ,0.51 ,0.00 ,0.00 ,2,4,2,1
2019/4/12,3,0,1,0,0,2,1,0,3,10003,4,3,0,0.00 ,1.00 ,0.00 ,0.00 ,2,4,0,2
2019/4/13,0,0,2,0,0,1,4,0,0,10005,4,1,0,0.33 ,0.67 ,0.00 ,0.00 ,2,4,2,1
2019/4/14,0,2,0,0,2,0,0,0,0,10005,3,2,0,0.44 ,0.56 ,0.00 ,0.00 ,2,4,4,2
2019/4/15,3,5,3,0,4,2,0,2,4,10004,4,3,0,0.40 ,0.60 ,0.00 ,0.00 ,2,4,2,2
2019/4/17,0,0,2,0,1,4,0,0,0,10003,4,1,0,1.00 ,0.00 ,0.00 ,0.00 ,2,4,5,2
2019/4/19,2,2,0,0,2,1,0,0,0,10005,4,1,0,0.00 ,1.00 ,0.00 ,0.00 ,2,4,2,2
2019/4/20,0,0,0,0,3,3,0,0,0,10003,4,1,0,0.00 ,0.00 ,0.00 ,0.00 ,2,4,4,2
2019/4/21,0,0,0,0,0,2,3,0,0,10003,4,3,0,0.72 ,0.00 ,0.28 ,0.00 ,2,4,3,1
2019/4/30,0,0,3,3,3,5,3,3,0,10003,4,1,0,0.40 ,0.34 ,0.26 ,0.00 ,0,4,4,2
2019/5/1,0,10,0,3,0,0,1,0,0,10005,4,1,0,1.00 ,0.00 ,0.00 ,0.00 ,2,4,1,1
2019/5/2,0,0,1,1,1,0,1,0,0,10003,4,2,0,1.00 ,0.00 ,0.00 ,0.00 ,2,4,1,2
2019/5/3,0,0,2,2,0,0,0,0,2,10003,4,1,0,0.73 ,0.00 ,0.28 ,0.00 ,2,2,5,2
2019/5/4,0,0,2,2,0,0,0,0,3,10005,3,2,0,0.69 ,0.31 ,0.00 ,0.00 ,2,2,1,2
2019/5/5,0,0,0,0,3,1,1,2,0,10003,0,0,0,0.53 ,0.47 ,0.00 ,0.00 ,0,2,5,2
2019/5/6,0,0,2,0,1,1,0,0,0,10005,4,1,0,0.60 ,0.40 ,0.00 ,0.00 ,2,4,1,1
2019/5/7,0,0,3,3,5,2,5,0,0,10005,4,1,0,0.71 ,0.18 ,0.11 ,0.00 ,2,4,1,2
2019/5/8,0,0,0,2,0,3,0,0,1,10003,4,1,0,0.69 ,0.31 ,0.00 ,0.00 ,2,4,1,2
2019/5/9,0,2,3,3,3,2,0,0,0,10004,4,1,0,0.72 ,0.28 ,0.00 ,0.00 ,2,4,1,1
2019/5/10,2,0,3,3,3,2,0,0,3,10004,4,1,0,0.46 ,0.35 ,0.19 ,0.00 ,2,4,3,1
2019/5/11,0,0,5,4,0,0,3,5,2,10004,4,1,0,0.78 ,0.00 ,0.22 ,0.00 ,2,4,4,1
2019/5/12,3,0,6,3,3,3,5,0,3,10004,4,1,0,0.41 ,0.59 ,0.00 ,0.00 ,3,4,5,1
2019/5/13,0,1,0,2,0,2,0,0,2,10003,4,1,0,0.59 ,0.41 ,0.00 ,0.00 ,3,4,5,2
2019/5/14,0,0,2,0,0,0,0,3,0,10003,4,1,0,0.73 ,0.27 ,0.00 ,0.00 ,0,4,3,2
2019/5/15,0,2,0,1,1,0,0,0,3,10003,4,1,0,0.00 ,1.00 ,0.00 ,0.00 ,3,4,5,2
2019/5/16,0,0,3,0,4,3,3,0,0,10003,4,1,0,0.70 ,0.30 ,0.00 ,0.00 ,3,4,2,1
2019/5/17,0,0,3,0,2,5,0,0,3,10003,4,1,0,0.82 ,0.18 ,0.00 ,0.00 ,0,4,2,1
2019/5/18,7,0,2,3,0,0,0,0,5,10005,4,1,0,0.35 ,0.52 ,0.13 ,0.00 ,3,4,3,1
